ALLER_TYPE,RETURN_TYPE,AIRLINE_ALLER,AIRLINE_RETOUR,CITY_ARRIVAL,CITY_DEPARTURE,DATE_DE_DEPART,DATE_DE_RETOUR,HOR_ARRI,HOR_DEP,HOR_DEP_RETOUR,HOR_RETOUR,PRICE,FLIGHT_DURATION_DEPARTURE,FLIGHT_DURATION_RETURN,SEASON,FLIGHT_ROUTE,PRICE_CATEGORY
1 esclae,2 escales,Royal Air Maroc,JetBlue Airways,New York,Athens,2023-02-16,2023-05-31,06:01:00,02:17:00,03:27:00,07:10:00,980,224,223,Winter,Athens - New York,Premium
2 esclaes,Vol direct,Virgin Atlantic,Cathay Pacific,Delhi,London,2023-07-26,2023-07-30,04:08:00,10:55:00,11:06:00,11:43:00,126,407,37,Summer,London - Delhi,Budget
Vol direct,Vol direct,Singapore Airlines,Finnair,Moscow,Fes,2023-06-21,2023-07-22,05:30:00,10:10:00,06:38:00,18:38:00,696,280,720,Summer,Fes - Moscow,Premium
Vol direct,Vol direct,Air Canada,JetBlue Airways,Tangier,Marrakech,2023-06-03,2023-07-02,02:19:00,15:14:00,03:23:00,14:48:00,899,775,685,Summer,Marrakech - Tangier,Premium
2 esclaes,1 escale,KLM Royal Dutch Airlines,Qatar Airways,Paris,Casablanca,2023-01-04,2023-01-12,03:28:00,11:39:00,04:53:00,18:56:00,764,491,843,Winter,Casablanca - Paris,Premium
2 esclaes,Vol direct,Delta Air Lines,Japan Airlines,Copenhagen,Moscow,2023-06-26,2023-07-09,03:39:00,09:53:00,03:25:00,15:24:00,361,374,719,Summer,Moscow - Copenhagen,Standard
Vol direct,Vol direct,KLM Royal Dutch Airlines,Finnair,Amsterdam,Istanbul,2023-06-13,2023-06-26,03:31:00,19:04:00,16:12:00,22:16:00,782,933,364,Summer,Istanbul - Amsterdam,Premium
1 esclae,1 escale,Etihad Airways,Cathay Pacific,New York,Tokyo,2023-01-15,2023-01-30,04:15:00,08:32:00,06:23:00,20:56:00,92,257,873,Winter,Tokyo - New York,Budget
1 esclae,Vol direct,Delta Air Lines,Alitalia,Rabat,Athens,2023-02-13,2023-02-26,01:19:00,05:01:00,17:23:00,17:59:00,731,222,36,Winter,Athens - Rabat,Premium
Vol direct,2 escales,Ryanair,Alitalia,Vienna,Tangier,2023-04-21,2023-06-26,04:18:00,13:39:00,20:34:00,22:12:00,309,561,98,Spring,Tangier - Vienna,Standard
Vol direct,2 escales,Cathay Pacific,Qatar Airways,Los Angeles,Istanbul,2023-02-15,2023-05-13,05:06:00,13:54:00,14:58:00,19:44:00,182,528,286,Winter,Istanbul - Los Angeles,Budget
1 esclae,2 escales,Delta Air Lines,Finnair,Rabat,Copenhagen,2023-03-13,2023-07-13,06:41:00,17:13:00,07:14:00,13:48:00,338,632,394,Spring,Copenhagen - Rabat,Standard
1 esclae,Vol direct,Air Canada,British Airways,Dublin,Stockholm,2023-04-13,2023-04-23,05:33:00,18:40:00,03:41:00,16:53:00,975,787,792,Spring,Stockholm - Dublin,Premium
2 esclaes,Vol direct,Ryanair,Delta Air Lines,Rabat,Fes,2023-05-20,2023-05-22,03:45:00,21:58:00,15:38:00,21:56:00,939,1093,378,Spring,Fes - Rabat,Premium
1 esclae,2 escales,Turkish Airlines,Emirates,Moscow,Tangier,2023-03-26,2023-05-05,01:24:00,15:18:00,05:23:00,07:53:00,498,834,150,Spring,Tangier - Moscow,Standard
2 esclaes,1 escale,ANA - All Nippon Airways,Alitalia,Dublin,Paris,2023-05-22,2023-06-15,01:47:00,23:08:00,08:22:00,16:11:00,586,1281,469,Spring,Paris - Dublin,Premium
1 esclae,1 escale,Etihad Airways,Lufthansa,Delhi,Dublin,2023-02-19,2023-04-17,06:09:00,19:34:00,07:43:00,21:19:00,330,805,816,Winter,Dublin - Delhi,Standard
2 esclaes,1 escale,United Airlines,JetBlue Airways,Marrakech,Tokyo,2023-03-16,2023-05-11,02:07:00,16:00:00,09:36:00,18:10:00,960,833,514,Spring,Tokyo - Marrakech,Premium
2 esclaes,Vol direct,American Airlines,Turkish Airlines,Vienna,Berlin,2023-05-29,2023-07-25,05:58:00,13:38:00,08:33:00,12:01:00,534,460,208,Spring,Berlin - Vienna,Premium
1 esclae,2 escales,American Airlines,Singapore Airlines,Rabat,Tokyo,2023-05-04,2023-07-18,04:54:00,23:45:00,01:52:00,14:38:00,665,1131,766,Spring,Tokyo - Rabat,Premium
1 esclae,1 escale,JetBlue Airways,Lufthansa,Delhi,Moscow,2023-07-08,2023-07-13,03:14:00,08:23:00,08:16:00,16:33:00,405,309,497,Summer,Moscow - Delhi,Standard
Vol direct,Vol direct,Royal Air Maroc,Air France,Cairo,New York,2023-03-19,2023-05-21,03:07:00,11:56:00,06:19:00,23:16:00,138,529,1017,Spring,New York - Cairo,Budget
1 esclae,Vol direct,Turkish Airlines,Ryanair,New York,Copenhagen,2023-04-06,2023-06-27,05:37:00,14:57:00,16:21:00,18:44:00,927,560,143,Spring,Copenhagen - New York,Premium
2 esclaes,1 escale,Ryanair,American Airlines,Rio de Janeiro,San Francisco,2023-04-22,2023-06-12,06:43:00,09:34:00,16:08:00,19:51:00,633,171,223,Spring,San Francisco - Rio de Janeiro,Premium
1 esclae,1 escale,Lufthansa,Air France,Rome,Vienna,2023-04-27,2023-07-08,02:24:00,11:41:00,22:08:00,23:21:00,603,557,73,Spring,Vienna - Rome,Premium
Vol direct,Vol direct,JetBlue Airways,United Airlines,Istanbul,Delhi,2023-06-01,2023-06-24,06:53:00,23:29:00,02:21:00,15:51:00,853,996,810,Summer,Delhi - Istanbul,Premium
1 esclae,1 escale,JetBlue Airways,Turkish Airlines,Moscow,London,2023-07-29,2023-07-31,03:39:00,22:05:00,18:44:00,19:55:00,423,1106,71,Summer,London - Moscow,Standard
2 esclaes,2 escales,Etihad Airways,Etihad Airways,Fes,Los Angeles,2023-03-24,2023-04-28,05:24:00,04:33:00,19:41:00,20:23:00,626,51,42,Spring,Los Angeles - Fes,Premium
Vol direct,2 escales,Royal Air Maroc,Cathay Pacific,Paris,Tangier,2023-03-25,2023-06-08,03:32:00,05:47:00,10:11:00,19:51:00,660,135,580,Spring,Tangier - Paris,Premium
2 esclaes,1 escale,China Eastern Airlines,Southwest Airlines,Tangier,Barcelona,2023-03-14,2023-07-28,05:28:00,14:06:00,04:35:00,09:43:00,605,518,308,Spring,Barcelona - Tangier,Premium
1 esclae,2 escales,JetBlue Airways,British Airways,Vienna,Copenhagen,2023-05-24,2023-05-27,05:20:00,19:58:00,05:10:00,05:28:00,398,878,18,Spring,Copenhagen - Vienna,Standard
Vol direct,Vol direct,Cathay Pacific,Alitalia,Tokyo,Sydney,2023-03-17,2023-07-17,05:30:00,06:22:00,10:31:00,14:10:00,390,52,219,Spring,Sydney - Tokyo,Standard
2 esclaes,1 escale,Ryanair,British Airways,New York,Cairo,2023-07-12,2023-07-14,01:06:00,14:41:00,16:28:00,22:46:00,826,815,378,Summer,Cairo - New York,Premium
2 esclaes,Vol direct,British Airways,Air France,Marrakech,Copenhagen,2023-04-13,2023-06-08,04:31:00,00:53:00,05:22:00,16:27:00,213,218,665,Spring,Copenhagen - Marrakech,Standard
Vol direct,1 escale,Delta Air Lines,Cathay Pacific,London,Delhi,2023-04-01,2023-06-12,02:28:00,09:21:00,20:14:00,23:11:00,436,413,177,Spring,Delhi - London,Standard
2 esclaes,1 escale,Cathay Pacific,Virgin Atlantic,Tangier,Istanbul,2023-01-19,2023-04-24,02:30:00,14:40:00,06:06:00,17:46:00,952,730,700,Winter,Istanbul - Tangier,Premium
2 esclaes,Vol direct,Qantas,Qantas,Tokyo,Casablanca,2023-03-06,2023-05-17,05:33:00,11:49:00,20:09:00,21:22:00,615,376,73,Spring,Casablanca - Tokyo,Premium
Vol direct,1 escale,Virgin Atlantic,Virgin Atlantic,San Francisco,Rome,2023-05-17,2023-07-20,06:47:00,10:55:00,14:06:00,20:59:00,302,248,413,Spring,Rome - San Francisco,Standard
Vol direct,Vol direct,JetBlue Airways,Cathay Pacific,Fes,Los Angeles,2023-01-05,2023-06-11,05:09:00,18:19:00,14:13:00,16:19:00,968,790,126,Winter,Los Angeles - Fes,Premium
1 esclae,1 escale,AirAsia,Delta Air Lines,Athens,Moscow,2023-03-29,2023-05-30,03:50:00,12:38:00,03:11:00,13:53:00,742,528,642,Spring,Moscow - Athens,Premium
2 esclaes,Vol direct,Lufthansa,Alitalia,Fes,New York,2023-06-08,2023-07-28,06:15:00,09:42:00,11:32:00,19:39:00,851,207,487,Summer,New York - Fes,Premium
1 esclae,Vol direct,Air France,China Eastern Airlines,Cairo,Rabat,2023-01-20,2023-07-05,02:29:00,22:10:00,10:39:00,23:33:00,809,1181,774,Winter,Rabat - Cairo,Premium
2 esclaes,Vol direct,Etihad Airways,Alitalia,New York,Athens,2023-01-11,2023-02-05,05:16:00,21:55:00,08:54:00,13:09:00,851,999,255,Winter,Athens - New York,Premium
2 esclaes,1 escale,Ryanair,Virgin Atlantic,San Francisco,New York,2023-03-15,2023-07-07,05:49:00,09:24:00,14:37:00,20:36:00,989,215,359,Spring,New York - San Francisco,Premium
1 esclae,Vol direct,Air France,Qantas,Fes,London,2023-03-25,2023-05-10,01:21:00,04:37:00,06:13:00,18:22:00,336,196,729,Spring,London - Fes,Standard
Vol direct,1 escale,Finnair,Etihad Airways,Fes,Rio de Janeiro,2023-05-07,2023-06-17,02:27:00,14:42:00,17:04:00,18:46:00,547,735,102,Spring,Rio de Janeiro - Fes,Premium
2 esclaes,2 escales,British Airways,Turkish Airlines,Moscow,Casablanca,2023-06-28,2023-07-12,04:48:00,14:43:00,14:12:00,15:10:00,50,595,58,Summer,Casablanca - Moscow,Budget
Vol direct,2 escales,Singapore Airlines,Turkish Airlines,Tokyo,Rio de Janeiro,2023-02-25,2023-05-09,01:00:00,20:16:00,18:04:00,21:31:00,216,1156,207,Winter,Rio de Janeiro - Tokyo,Standard
Vol direct,Vol direct,China Eastern Airlines,Southwest Airlines,London,Sydney,2023-02-13,2023-07-21,01:50:00,22:38:00,05:35:00,23:49:00,310,1248,1094,Winter,Sydney - London,Standard
Vol direct,Vol direct,Japan Airlines,Ryanair,Los Angeles,Rio de Janeiro,2023-04-20,2023-06-29,03:07:00,08:46:00,05:08:00,13:44:00,700,339,516,Spring,Rio de Janeiro - Los Angeles,Premium
1 esclae,1 escale,China Eastern Airlines,China Eastern Airlines,Moscow,Tokyo,2023-02-13,2023-07-05,03:43:00,06:58:00,10:49:00,12:48:00,558,195,119,Winter,Tokyo - Moscow,Premium
Vol direct,2 escales,Royal Air Maroc,Finnair,Casablanca,Rome,2023-03-07,2023-03-15,01:30:00,04:03:00,11:54:00,19:05:00,689,153,431,Spring,Rome - Casablanca,Premium
Vol direct,2 escales,AirAsia,Virgin Atlantic,Casablanca,Cairo,2023-01-13,2023-06-24,01:07:00,12:53:00,05:34:00,16:11:00,782,706,637,Winter,Cairo - Casablanca,Premium
2 esclaes,1 escale,KLM Royal Dutch Airlines,Southwest Airlines,Tangier,Los Angeles,2023-04-27,2023-07-18,01:36:00,20:13:00,17:23:00,22:41:00,640,1117,318,Spring,Los Angeles - Tangier,Premium
1 esclae,1 escale,Lufthansa,Alitalia,Moscow,Delhi,2023-06-29,2023-07-19,06:25:00,09:53:00,01:26:00,13:26:00,976,208,720,Summer,Delhi - Moscow,Premium
2 esclaes,1 escale,Air Canada,Royal Air Maroc,Athens,Istanbul,2023-03-13,2023-04-25,02:53:00,00:54:00,13:03:00,21:23:00,171,119,500,Spring,Istanbul - Athens,Budget
1 esclae,2 escales,AirAsia,Singapore Airlines,Marrakech,Amsterdam,2023-03-17,2023-04-03,03:39:00,16:20:00,08:17:00,12:15:00,845,761,238,Spring,Amsterdam - Marrakech,Premium
1 esclae,1 escale,Singapore Airlines,Royal Air Maroc,Rio de Janeiro,Berlin,2023-04-19,2023-06-29,05:09:00,19:33:00,04:41:00,15:53:00,901,864,672,Spring,Berlin - Rio de Janeiro,Premium
2 esclaes,1 escale,ANA - All Nippon Airways,ANA - All Nippon Airways,Athens,Amsterdam,2023-02-03,2023-05-03,05:28:00,21:03:00,07:50:00,12:25:00,591,935,275,Winter,Amsterdam - Athens,Premium
Vol direct,1 escale,United Airlines,Ryanair,Tangier,Cairo,2023-02-06,2023-03-24,04:10:00,03:02:00,22:39:00,23:38:00,300,68,59,Winter,Cairo - Tangier,Standard
1 esclae,Vol direct,Japan Airlines,Ryanair,Stockholm,Tangier,2023-02-15,2023-03-06,06:28:00,17:14:00,22:29:00,23:53:00,593,646,84,Winter,Tangier - Stockholm,Premium
1 esclae,Vol direct,JetBlue Airways,Turkish Airlines,Athens,Barcelona,2023-01-24,2023-03-12,02:04:00,14:22:00,22:40:00,23:45:00,689,738,65,Winter,Barcelona - Athens,Premium
Vol direct,2 escales,Qantas,Japan Airlines,Berlin,Paris,2023-05-09,2023-05-17,06:16:00,07:54:00,00:34:00,14:53:00,231,98,859,Spring,Paris - Berlin,Standard
1 esclae,1 escale,Southwest Airlines,AirAsia,Amsterdam,Casablanca,2023-01-16,2023-07-09,05:37:00,00:09:00,14:31:00,21:21:00,793,328,410,Winter,Casablanca - Amsterdam,Premium
2 esclaes,Vol direct,AirAsia,Delta Air Lines,Rabat,Paris,2023-05-13,2023-06-10,06:20:00,09:23:00,12:04:00,19:06:00,947,183,422,Spring,Paris - Rabat,Premium
2 esclaes,1 escale,China Eastern Airlines,Japan Airlines,Amsterdam,Dublin,2023-04-24,2023-06-04,01:46:00,03:51:00,15:39:00,18:40:00,377,125,181,Spring,Dublin - Amsterdam,Standard
Vol direct,Vol direct,American Airlines,Etihad Airways,Sydney,Berlin,2023-04-21,2023-05-22,03:39:00,01:19:00,02:36:00,22:23:00,174,140,1187,Spring,Berlin - Sydney,Budget
1 esclae,2 escales,KLM Royal Dutch Airlines,Qantas,Athens,Rabat,2023-07-06,2023-07-17,02:55:00,15:46:00,19:37:00,21:00:00,479,771,83,Summer,Rabat - Athens,Standard
1 esclae,2 escales,Singapore Airlines,Virgin Atlantic,Tokyo,Athens,2023-07-18,2023-07-25,05:40:00,17:55:00,23:14:00,23:49:00,221,735,35,Summer,Athens - Tokyo,Standard
2 esclaes,1 escale,Ryanair,Southwest Airlines,Rabat,Barcelona,2023-02-14,2023-05-20,05:25:00,14:42:00,13:12:00,16:53:00,412,557,221,Winter,Barcelona - Rabat,Standard
1 esclae,2 escales,China Eastern Airlines,Etihad Airways,Vienna,Fes,2023-05-04,2023-06-19,04:47:00,13:38:00,02:06:00,08:26:00,529,531,380,Spring,Fes - Vienna,Premium
2 esclaes,1 escale,Turkish Airlines,Air Canada,Delhi,Sydney,2023-02-01,2023-02-14,03:49:00,12:14:00,14:01:00,23:26:00,994,505,565,Winter,Sydney - Delhi,Premium
2 esclaes,2 escales,Ryanair,Emirates,Berlin,Moscow,2023-03-12,2023-05-21,04:31:00,21:48:00,07:55:00,14:12:00,970,1037,377,Spring,Moscow - Berlin,Premium
2 esclaes,2 escales,AirAsia,Japan Airlines,Casablanca,Amsterdam,2023-05-16,2023-05-27,06:46:00,20:41:00,14:48:00,23:53:00,975,835,545,Spring,Amsterdam - Casablanca,Premium
1 esclae,1 escale,Southwest Airlines,KLM Royal Dutch Airlines,Los Angeles,Amsterdam,2023-06-05,2023-07-10,03:01:00,06:21:00,07:50:00,14:19:00,767,200,389,Summer,Amsterdam - Los Angeles,Premium
Vol direct,1 escale,Delta Air Lines,Emirates,Casablanca,London,2023-07-24,2023-07-26,01:48:00,14:02:00,12:08:00,12:55:00,441,734,47,Summer,London - Casablanca,Standard
Vol direct,1 escale,Qatar Airways,Cathay Pacific,Copenhagen,Paris,2023-03-07,2023-07-07,06:07:00,09:29:00,10:56:00,18:00:00,265,202,424,Spring,Paris - Copenhagen,Standard
2 esclaes,Vol direct,Alitalia,Delta Air Lines,Sydney,San Francisco,2023-06-27,2023-07-14,06:55:00,04:25:00,09:13:00,22:43:00,649,150,810,Summer,San Francisco - Sydney,Premium
Vol direct,2 escales,Southwest Airlines,United Airlines,San Francisco,Marrakech,2023-07-06,2023-07-18,01:36:00,05:04:00,10:37:00,13:07:00,455,208,150,Summer,Marrakech - San Francisco,Standard
2 esclaes,1 escale,Virgin Atlantic,Air Canada,Athens,Delhi,2023-01-11,2023-01-26,03:02:00,14:25:00,07:01:00,10:00:00,349,683,179,Winter,Delhi - Athens,Standard
Vol direct,Vol direct,Lufthansa,Emirates,Tokyo,London,2023-02-09,2023-03-02,01:17:00,07:43:00,01:15:00,09:06:00,943,386,471,Winter,London - Tokyo,Premium
Vol direct,Vol direct,China Eastern Airlines,Qantas,Rio de Janeiro,Stockholm,2023-01-20,2023-04-01,04:40:00,10:16:00,12:29:00,23:24:00,614,336,655,Winter,Stockholm - Rio de Janeiro,Premium
2 esclaes,2 escales,British Airways,Ryanair,Casablanca,Stockholm,2023-07-24,2023-07-26,04:54:00,01:44:00,11:13:00,19:48:00,194,190,515,Summer,Stockholm - Casablanca,Budget
1 esclae,2 escales,China Eastern Airlines,American Airlines,Fes,Rome,2023-05-14,2023-05-29,04:03:00,07:39:00,15:30:00,19:44:00,251,216,254,Spring,Rome - Fes,Standard
2 esclaes,2 escales,Air France,ANA - All Nippon Airways,Rabat,Athens,2023-01-15,2023-02-20,03:07:00,00:27:00,16:17:00,21:48:00,581,160,331,Winter,Athens - Rabat,Premium
1 esclae,1 escale,Turkish Airlines,Qatar Airways,Stockholm,Tangier,2023-01-10,2023-03-29,04:42:00,15:45:00,10:26:00,23:50:00,167,663,804,Winter,Tangier - Stockholm,Budget
1 esclae,1 escale,Ryanair,Etihad Airways,Delhi,New York,2023-06-21,2023-07-04,06:32:00,11:26:00,12:12:00,22:05:00,757,294,593,Summer,New York - Delhi,Premium
2 esclaes,2 escales,Finnair,Royal Air Maroc,Vienna,Paris,2023-07-09,2023-07-11,02:09:00,11:45:00,19:10:00,21:19:00,904,576,129,Summer,Paris - Vienna,Premium
Vol direct,1 escale,American Airlines,Japan Airlines,Rabat,Berlin,2023-03-09,2023-05-25,02:34:00,00:21:00,02:40:00,08:02:00,112,133,322,Spring,Berlin - Rabat,Budget
1 esclae,1 escale,British Airways,Qatar Airways,Casablanca,San Francisco,2023-01-05,2023-07-21,02:25:00,12:59:00,16:01:00,16:34:00,164,634,33,Winter,San Francisco - Casablanca,Budget
1 esclae,1 escale,Finnair,AirAsia,Fes,Stockholm,2023-04-17,2023-04-22,03:28:00,23:02:00,07:10:00,07:42:00,334,1174,32,Spring,Stockholm - Fes,Standard
2 esclaes,2 escales,Air Canada,AirAsia,Istanbul,Dublin,2023-04-24,2023-06-20,04:31:00,02:45:00,11:48:00,17:33:00,948,106,345,Spring,Dublin - Istanbul,Premium
2 esclaes,2 escales,Ryanair,Singapore Airlines,Casablanca,Paris,2023-04-26,2023-06-27,01:13:00,00:39:00,13:38:00,19:10:00,738,34,332,Spring,Paris - Casablanca,Premium
Vol direct,1 escale,Qantas,Ryanair,Berlin,Amsterdam,2023-03-22,2023-07-24,05:44:00,03:50:00,12:02:00,13:35:00,464,114,93,Spring,Amsterdam - Berlin,Standard
2 esclaes,Vol direct,ANA - All Nippon Airways,Emirates,Rome,New York,2023-04-07,2023-06-02,03:12:00,10:27:00,07:41:00,08:37:00,217,435,56,Spring,New York - Rome,Standard
2 esclaes,2 escales,Air France,KLM Royal Dutch Airlines,Istanbul,Dublin,2023-03-29,2023-05-09,03:26:00,20:50:00,00:27:00,10:18:00,128,1044,591,Spring,Dublin - Istanbul,Budget
1 esclae,2 escales,Delta Air Lines,JetBlue Airways,Delhi,Marrakech,2023-07-20,2023-07-30,02:37:00,09:25:00,04:27:00,23:53:00,600,408,1166,Summer,Marrakech - Delhi,Premium
Vol direct,2 escales,Qantas,United Airlines,New York,Tokyo,2023-02-07,2023-06-22,04:48:00,07:16:00,09:12:00,13:42:00,303,148,270,Winter,Tokyo - New York,Standard
2 esclaes,2 escales,Air Canada,Delta Air Lines,Marrakech,Paris,2023-04-24,2023-05-10,05:08:00,07:58:00,01:52:00,23:46:00,815,170,1314,Spring,Paris - Marrakech,Premium
Vol direct,2 escales,AirAsia,Royal Air Maroc,Rio de Janeiro,Dublin,2023-04-12,2023-06-18,04:22:00,10:02:00,03:23:00,11:13:00,181,340,470,Spring,Dublin - Rio de Janeiro,Budget
1 esclae,Vol direct,Royal Air Maroc,United Airlines,Amsterdam,Copenhagen,2023-05-26,2023-07-05,03:15:00,11:18:00,00:41:00,21:13:00,956,483,1232,Spring,Copenhagen - Amsterdam,Premium
2 esclaes,Vol direct,Finnair,Emirates,Barcelona,Amsterdam,2023-05-07,2023-06-18,03:10:00,07:46:00,14:43:00,23:22:00,753,276,519,Spring,Amsterdam - Barcelona,Premium
Vol direct,2 escales,Air France,Finnair,Casablanca,Sydney,2023-05-06,2023-06-09,02:21:00,21:47:00,22:06:00,23:21:00,712,1166,75,Spring,Sydney - Casablanca,Premium
1 esclae,1 escale,China Eastern Airlines,KLM Royal Dutch Airlines,Barcelona,Vienna,2023-06-27,2023-07-06,05:41:00,15:38:00,20:06:00,21:20:00,514,597,74,Summer,Vienna - Barcelona,Premium
2 esclaes,Vol direct,Ryanair,ANA - All Nippon Airways,Rome,Rio de Janeiro,2023-01-19,2023-06-21,02:06:00,06:38:00,08:06:00,15:14:00,278,272,428,Winter,Rio de Janeiro - Rome,Standard
2 esclaes,1 escale,Emirates,JetBlue Airways,Rio de Janeiro,Moscow,2023-04-16,2023-06-24,06:07:00,09:29:00,20:49:00,21:44:00,221,202,55,Spring,Moscow - Rio de Janeiro,Standard
2 esclaes,Vol direct,United Airlines,Emirates,Rome,Los Angeles,2023-04-04,2023-07-29,02:22:00,23:38:00,10:54:00,20:30:00,841,1276,576,Spring,Los Angeles - Rome,Premium
1 esclae,1 escale,ANA - All Nippon Airways,Singapore Airlines,Rome,Delhi,2023-06-07,2023-07-27,05:02:00,09:04:00,06:24:00,08:12:00,667,242,108,Summer,Delhi - Rome,Premium
1 esclae,1 escale,Cathay Pacific,Lufthansa,Dublin,Rome,2023-05-21,2023-07-19,05:56:00,00:44:00,23:18:00,23:44:00,189,312,26,Spring,Rome - Dublin,Budget
1 esclae,2 escales,ANA - All Nippon Airways,Air Canada,Copenhagen,Athens,2023-06-20,2023-06-27,04:36:00,15:24:00,05:41:00,17:18:00,420,648,697,Summer,Athens - Copenhagen,Standard
Vol direct,2 escales,American Airlines,Japan Airlines,Tangier,Istanbul,2023-07-16,2023-07-22,04:19:00,11:19:00,08:18:00,12:11:00,369,420,233,Summer,Istanbul - Tangier,Standard
Vol direct,2 escales,Cathay Pacific,Ryanair,Stockholm,Istanbul,2023-02-24,2023-03-27,04:30:00,17:39:00,09:48:00,17:00:00,778,789,432,Winter,Istanbul - Stockholm,Premium
1 esclae,2 escales,KLM Royal Dutch Airlines,Qantas,Barcelona,Vienna,2023-04-04,2023-06-04,01:53:00,15:04:00,19:44:00,23:34:00,113,791,230,Spring,Vienna - Barcelona,Budget
2 esclaes,Vol direct,Royal Air Maroc,British Airways,London,Rome,2023-01-25,2023-06-28,02:59:00,17:22:00,21:06:00,22:53:00,494,863,107,Winter,Rome - London,Standard
2 esclaes,1 escale,Qatar Airways,Delta Air Lines,Sydney,Berlin,2023-05-15,2023-06-01,06:29:00,07:48:00,12:53:00,15:56:00,846,79,183,Spring,Berlin - Sydney,Premium
Vol direct,1 escale,Ryanair,Turkish Airlines,Rabat,Stockholm,2023-06-02,2023-07-05,06:37:00,10:07:00,02:34:00,09:55:00,353,210,441,Summer,Stockholm - Rabat,Standard
Vol direct,1 escale,Ryanair,Turkish Airlines,Berlin,Casablanca,2023-06-12,2023-06-20,01:50:00,03:56:00,09:47:00,15:18:00,949,126,331,Summer,Casablanca - Berlin,Premium
Vol direct,2 escales,Air Canada,Royal Air Maroc,Vienna,Barcelona,2023-06-27,2023-07-21,02:10:00,18:33:00,04:33:00,23:54:00,435,983,1161,Summer,Barcelona - Vienna,Standard
Vol direct,Vol direct,Emirates,Etihad Airways,New York,San Francisco,2023-06-09,2023-06-16,01:01:00,00:00:00,05:03:00,09:50:00,891,61,287,Summer,San Francisco - New York,Premium
2 esclaes,2 escales,British Airways,Singapore Airlines,Stockholm,Marrakech,2023-01-10,2023-06-26,05:21:00,02:33:00,09:45:00,23:08:00,571,168,803,Winter,Marrakech - Stockholm,Premium
1 esclae,1 escale,KLM Royal Dutch Airlines,KLM Royal Dutch Airlines,Dublin,Amsterdam,2023-06-30,2023-07-30,01:35:00,05:11:00,09:09:00,18:11:00,563,216,542,Summer,Amsterdam - Dublin,Premium
Vol direct,Vol direct,Delta Air Lines,Virgin Atlantic,London,Copenhagen,2023-07-23,2023-07-26,06:26:00,00:22:00,11:52:00,14:28:00,785,364,156,Summer,Copenhagen - London,Premium
Vol direct,Vol direct,Qatar Airways,Qatar Airways,Moscow,Casablanca,2023-01-30,2023-04-22,02:30:00,07:57:00,12:47:00,19:11:00,606,327,384,Winter,Casablanca - Moscow,Premium
Vol direct,Vol direct,Turkish Airlines,Southwest Airlines,Amsterdam,Berlin,2023-01-28,2023-02-13,02:31:00,16:10:00,23:24:00,23:49:00,419,819,25,Winter,Berlin - Amsterdam,Standard
Vol direct,Vol direct,Virgin Atlantic,Etihad Airways,San Francisco,Sydney,2023-03-17,2023-06-17,04:31:00,11:32:00,20:22:00,23:37:00,611,421,195,Spring,Sydney - San Francisco,Premium
2 esclaes,Vol direct,Air Canada,Southwest Airlines,Copenhagen,Vienna,2023-03-20,2023-06-04,06:51:00,08:42:00,03:15:00,14:32:00,766,111,677,Spring,Vienna - Copenhagen,Premium
1 esclae,2 escales,ANA - All Nippon Airways,Lufthansa,Los Angeles,Copenhagen,2023-01-28,2023-05-04,03:02:00,09:59:00,08:41:00,21:38:00,467,417,777,Winter,Copenhagen - Los Angeles,Standard
Vol direct,Vol direct,Etihad Airways,Emirates,New York,Berlin,2023-03-31,2023-05-12,04:13:00,09:52:00,17:17:00,18:28:00,392,339,71,Spring,Berlin - New York,Standard
1 esclae,Vol direct,JetBlue Airways,JetBlue Airways,Paris,Dublin,2023-04-01,2023-07-04,04:05:00,21:41:00,15:20:00,19:20:00,202,1056,240,Spring,Dublin - Paris,Standard
2 esclaes,2 escales,United Airlines,Virgin Atlantic,Delhi,Berlin,2023-02-13,2023-04-14,04:25:00,17:25:00,21:57:00,23:07:00,640,780,70,Winter,Berlin - Delhi,Premium
2 esclaes,1 escale,Southwest Airlines,American Airlines,Sydney,Rio de Janeiro,2023-03-16,2023-07-03,01:05:00,08:54:00,23:23:00,23:58:00,527,469,35,Spring,Rio de Janeiro - Sydney,Premium
Vol direct,Vol direct,Air Canada,Lufthansa,Los Angeles,Copenhagen,2023-03-13,2023-04-05,05:35:00,05:56:00,20:23:00,22:08:00,833,21,105,Spring,Copenhagen - Los Angeles,Premium
1 esclae,Vol direct,Virgin Atlantic,Qantas,Sydney,Cairo,2023-07-16,2023-07-30,05:45:00,01:50:00,13:39:00,19:20:00,887,235,341,Summer,Cairo - Sydney,Premium
2 esclaes,2 escales,Southwest Airlines,AirAsia,Vienna,San Francisco,2023-03-13,2023-04-05,01:30:00,23:27:00,22:52:00,23:19:00,470,1317,27,Spring,San Francisco - Vienna,Standard
1 esclae,1 escale,ANA - All Nippon Airways,Air Canada,San Francisco,Moscow,2023-01-05,2023-03-17,02:42:00,22:04:00,20:54:00,21:19:00,191,1162,25,Winter,Moscow - San Francisco,Budget
1 esclae,1 escale,Lufthansa,Emirates,Tokyo,Berlin,2023-02-28,2023-04-20,06:29:00,21:58:00,21:28:00,22:22:00,297,929,54,Winter,Berlin - Tokyo,Standard
